"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Median Household Income (In 2024 Inflation Adjusted Dollars)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A14006_001,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008
"53033000101","SL140","Census Tract 1.01, King County, Washington","Census Tract 1.01, King County, Washington",414848,0,3417,1693,652,0,422,0,131,519,69577,2504,222,2282,1615,1157,260,65,31
"53033000102","SL140","Census Tract 1.02, King County, Washington","Census Tract 1.02, King County, Washington",1495019,918878,4321,3121,362,0,431,0,226,181,89840,3800,419,3381,2857,2113,921,258,126
"53033000201","SL140","Census Tract 2.01, King County, Washington","Census Tract 2.01, King County, Washington",1806749,0,4953,2594,356,41,980,0,611,371,88833,3886,394,3492,3058,2194,1323,428,402
"53033000202","SL140","Census Tract 2.02, King County, Washington","Census Tract 2.02, King County, Washington",1480085,0,4404,2165,374,6,708,0,340,811,138472,3212,153,3059,2573,1911,814,266,99
"53033000300","SL140","Census Tract 3, King County, Washington","Census Tract 3, King County, Washington",1211013,0,2926,1797,179,11,612,1,23,303,135536,2253,129,2124,1882,1399,643,142,85
"53033000402","SL140","Census Tract 4.02, King County, Washington","Census Tract 4.02, King County, Washington",1798938,0,5365,3763,91,0,426,7,169,909,128310,4415,178,4237,3523,2474,1100,435,170
"53033000403","SL140","Census Tract 4.03, King County, Washington","Census Tract 4.03, King County, Washington",669384,62871,3285,2147,194,8,407,0,105,424,65469,2848,87,2761,2457,1332,512,126,35
"53033000404","SL140","Census Tract 4.04, King County, Washington","Census Tract 4.04, King County, Washington",617482,13535,3668,1127,746,18,596,75,344,762,45940,2713,272,2441,1985,1042,378,34,15
"53033000500","SL140","Census Tract 5, King County, Washington","Census Tract 5, King County, Washington",2898253,953717,3381,2484,134,46,292,0,40,385,216471,2428,69,2359,2135,1738,843,385,167
